Name,Year,Count
Abby,1989,1282
Abby,1990,1293
Abby,1991,1171
Abby,1992,1082
Abby,1993,1176
Abby,1994,1372
Abby,1995,1383
Abby,1996,1423
Abby,1997,1564
Abby,1998,1613
Abby,1999,1817
Abby,2000,1565
Abby,2001,1985
Abby,2002,1961
Abby,2003,2048
Abby,2004,2043
Abby,2005,1753
Abby,2006,1689
Abby,2007,1584
Abby,2008,1334
Abby,2009,1283
Abby,2010,1146
Abby,2011,1059
Abby,2012,1036
Abby,2013,902
Abby,2014,830
Abigail,1880,12
Abigail,1881,8
Abigail,1882,14
Abigail,1883,11
Abigail,1884,13
Abigail,1885,9
Abigail,1886,15
Abigail,1887,13
Abigail,1888,18
Abigail,1889,20
Abigail,1890,9
Abigail,1891,11
Abigail,1892,11
Abigail,1893,21
Abigail,1894,13
Abigail,1895,15
Abigail,1896,15
Abigail,1897,15
Abigail,1898,11
Abigail,1899,7
Abigail,1900,14
Abigail,1901,13
Abigail,1902,18
Abigail,1903,20
Abigail,1904,8
Abigail,1905,11
Abigail,1906,15
Abigail,1907,12
Abigail,1908,13
Abigail,1909,12
Abigail,1910,16
Abigail,1911,18
Abigail,1912,24
Abigail,1913,14
Abigail,1914,25
Abigail,1915,38
Abigail,1916,37
Abigail,1917,41
Abigail,1918,26
Abigail,1919,31
Abigail,1920,33
Abigail,1921,24
Abigail,1922,29
Abigail,1923,32
Abigail,1924,31
Abigail,1925,37
Abigail,1926,30
Abigail,1927,33
Abigail,1928,40
Abigail,1929,33
Abigail,1930,25
Abigail,1931,27
Abigail,1932,30
Abigail,1933,32
Abigail,1934,30
Abigail,1935,37
Abigail,1936,36
Abigail,1937,45
Abigail,1938,50
Abigail,1939,53
Abigail,1940,48
Abigail,1941,40
Abigail,1942,48
Abigail,1943,63
Abigail,1944,56
Abigail,1945,53
Abigail,1946,77
Abigail,1947,78
Abigail,1948,72
Abigail,1949,113
Abigail,1950,111
Abigail,1951,137
Abigail,1952,152
Abigail,1953,167
Abigail,1954,148
Abigail,1955,181
Abigail,1956,189
Abigail,1957,188
Abigail,1958,193
Abigail,1959,206
Abigail,1960,228
Abigail,1961,233
Abigail,1962,264
Abigail,1963,255
Abigail,1964,244
Abigail,1965,211
Abigail,1966,190
Abigail,1967,245
Abigail,1968,263
Abigail,1969,281
Abigail,1970,362
Abigail,1971,392
Abigail,1972,395
Abigail,1973,481
Abigail,1974,605
Abigail,1975,614
Abigail,1976,838
Abigail,1977,796
Abigail,1978,1009
Abigail,1979,1226
Abigail,1980,1587
Abigail,1981,1819
Abigail,1982,1892
Abigail,1983,1920
Abigail,1984,1848
Abigail,1985,1859
Abigail,1986,2011
Abigail,1987,2014
Abigail,1988,2382
Abigail,1989,3423
Abigail,1990,3739
Abigail,1991,3810
Abigail,1992,4003
Abigail,1993,5196
Abigail,1994,7252
Abigail,1995,7833
Abigail,1996,8615
Abigail,1997,9633
Abigail,1998,11117
Abigail,1999,11695
Abigail,2000,13103
Abigail,2001,14822
Abigail,2002,15313
Abigail,2003,15941
Abigail,2004,15512
Abigail,2005,15760
Abigail,2006,15638
Abigail,2007,15488
Abigail,2008,15092
Abigail,2009,14392
Abigail,2010,14237
Abigail,2011,13250
Abigail,2012,12675
Abigail,2013,12377
Abigail,2014,11997
Abraham,1880,81
Abraham,1881,86
Abraham,1882,91
Abraham,1883,52
Abraham,1884,67
Abraham,1885,86
Abraham,1886,77
Abraham,1887,75
Abraham,1888,78
Abraham,1889,83
Abraham,1890,70
Abraham,1891,62
Abraham,1892,99
Abraham,1893,103
Abraham,1894,73
Abraham,1895,94
Abraham,1896,109
Abraham,1897,62
Abraham,1898,92
Abraham,1899,85
Abraham,1900,100
Abraham,1901,62
Abraham,1902,82
Abraham,1903,95
Abraham,1904,111
Abraham,1905,112
Abraham,1906,122
Abraham,1907,148
Abraham,1908,150
Abraham,1909,163
Abraham,1910,191
Abraham,1911,292
Abraham,1912,533
Abraham,1913,551
Abraham,1914,700
Abraham,1915,790
Abraham,1916,753
Abraham,1917,731
Abraham,1918,757
Abraham,1919,742
Abraham,1920,656
Abraham,1921,683
Abraham,1922,599
Abraham,1923,556
Abraham,1924,555
Abraham,1925,490
Abraham,1926,426
Abraham,1927,406
Abraham,1928,401
Abraham,1929,342
Abraham,1930,345
Abraham,1931,291
Abraham,1932,276
Abraham,1933,246
Abraham,1934,243
Abraham,1935,259
Abraham,1936,214
Abraham,1937,217
Abraham,1938,212
Abraham,1939,197
Abraham,1940,219
Abraham,1941,193
Abraham,1942,234
Abraham,1943,199
Abraham,1944,194
Abraham,1945,206
Abraham,1946,210
Abraham,1947,240
Abraham,1948,252
Abraham,1949,288
Abraham,1950,299
Abraham,1951,283
Abraham,1952,253
Abraham,1953,315
Abraham,1954,303
Abraham,1955,288
Abraham,1956,305
Abraham,1957,273
Abraham,1958,282
Abraham,1959,311
Abraham,1960,294
Abraham,1961,276
Abraham,1962,278
Abraham,1963,274
Abraham,1964,273
Abraham,1965,274
Abraham,1966,253
Abraham,1967,227
Abraham,1968,257
Abraham,1969,302
Abraham,1970,354
Abraham,1971,369
Abraham,1972,388
Abraham,1973,403
Abraham,1974,460
Abraham,1975,506
Abraham,1976,569
Abraham,1977,678
Abraham,1978,699
Abraham,1979,743
Abraham,1980,779
Abraham,1981,812
Abraham,1982,847
Abraham,1983,779
Abraham,1984,861
Abraham,1985,856
Abraham,1986,916
Abraham,1987,916
Abraham,1988,971
Abraham,1989,1005
Abraham,1990,1136
Abraham,1991,1165
Abraham,1992,1143
Abraham,1993,1175
Abraham,1994,1228
Abraham,1995,1287
Abraham,1996,1334
Abraham,1997,1427
Abraham,1998,1545
Abraham,1999,1594
Abraham,2000,1688
Abraham,2001,1822
Abraham,2002,1796
Abraham,2003,1900
Abraham,2004,1992
Abraham,2005,2050
Abraham,2006,2203
Abraham,2007,2140
Abraham,2008,2151
Abraham,2009,2110
Abraham,2010,1923
Abraham,2011,1932
Abraham,2012,1953
Abraham,2013,2215
Abraham,2014,2360
Ada,1880,652
Ada,1881,628
Ada,1882,689
Ada,1883,778
Ada,1884,854
Ada,1885,881
Ada,1886,921
Ada,1887,915
Ada,1888,1121
Ada,1889,1012
Ada,1890,1074
Ada,1891,982
Ada,1892,1140
Ada,1893,1051
Ada,1894,1024
Ada,1895,1133
Ada,1896,1041
Ada,1897,966
Ada,1898,1027
Ada,1899,984
Ada,1900,1101
Ada,1901,913
Ada,1902,929
Ada,1903,843
Ada,1904,878
Ada,1905,873
Ada,1906,819
Ada,1907,906
Ada,1908,922
Ada,1909,945
Ada,1910,960
Ada,1911,939
Ada,1912,1274
Ada,1913,1288
Ada,1914,1499
Ada,1915,1826
Ada,1916,1867
Ada,1917,1853
Ada,1918,1950
Ada,1919,1830
Ada,1920,1830
Ada,1921,1763
Ada,1922,1689
Ada,1923,1646
Ada,1924,1590
Ada,1925,1507
Ada,1926,1466
Ada,1927,1357
Ada,1928,1222
Ada,1929,1136
Ada,1930,1040
Ada,1931,981
Ada,1932,983
Ada,1933,876
Ada,1934,833
Ada,1935,807
Ada,1936,750
Ada,1937,795
Ada,1938,755
Ada,1939,702
Ada,1940,665
Ada,1941,683
Ada,1942,709
Ada,1943,658
Ada,1944,546
Ada,1945,527
Ada,1946,546
Ada,1947,525
Ada,1948,534
Ada,1949,495
Ada,1950,473
Ada,1951,513
Ada,1952,481
Ada,1953,438
Ada,1954,443
Ada,1955,433
Ada,1956,397
Ada,1957,393
Ada,1958,371
Ada,1959,362
Ada,1960,351
Ada,1961,343
Ada,1962,323
Ada,1963,303
Ada,1964,318
Ada,1965,268
Ada,1966,243
Ada,1967,245
Ada,1968,255
Ada,1969,223
Ada,1970,239
Ada,1971,198
Ada,1972,205
Ada,1973,201
Ada,1974,164
Ada,1975,189
Ada,1976,167
Ada,1977,187
Ada,1978,197
Ada,1979,179
Ada,1980,166
Ada,1981,181
Ada,1982,170
Ada,1983,146
Ada,1984,161
Ada,1985,168
Ada,1986,146
Ada,1987,157
Ada,1988,153
Ada,1989,165
Ada,1990,176
Ada,1991,167
Ada,1992,195
Ada,1993,138
Ada,1994,149
Ada,1995,141
Ada,1996,135
Ada,1997,132
Ada,1998,138
Ada,1999,174
Ada,2000,188
Ada,2001,186
Ada,2002,204
Ada,2003,212
Ada,2004,296
Ada,2005,326
Ada,2006,403
Ada,2007,460
Ada,2008,521
Ada,2009,533
Ada,2010,540
Ada,2011,598
Ada,2012,630
Ada,2013,698
Ada,2014,847
Adam,1880,104
Adam,1881,116
Adam,1882,114
Adam,1883,107
Adam,1884,83
Adam,1885,96
Adam,1886,103
Adam,1887,84
Adam,1888,120
Adam,1889,93
Adam,1890,74
Adam,1891,87
Adam,1892,106
Adam,1893,87
Adam,1894,86
Adam,1895,78
Adam,1896,96
Adam,1897,88
Adam,1898,87
Adam,1899,74
Adam,1900,111
Adam,1901,71
Adam,1902,99
Adam,1903,82
Adam,1904,103
Adam,1905,101
Adam,1906,105
Adam,1907,127
Adam,1908,109
Adam,1909,113
Adam,1910,154
Adam,1911,189
Adam,1912,307
Adam,1913,354
Adam,1914,489
Adam,1915,574
Adam,1916,609
Adam,1917,614
Adam,1918,653
Adam,1919,542
Adam,1920,579
Adam,1921,588
Adam,1922,469
Adam,1923,435
Adam,1924,464
Adam,1925,459
Adam,1926,425
Adam,1927,389
Adam,1928,357
Adam,1929,308
Adam,1930,274
Adam,1931,300
Adam,1932,257
Adam,1933,235
Adam,1934,237
Adam,1935,238
Adam,1936,216
Adam,1937,222
Adam,1938,214
Adam,1939,216
Adam,1940,227
Adam,1941,230
Adam,1942,241
Adam,1943,252
Adam,1944,221
Adam,1945,209
Adam,1946,247
Adam,1947,270
Adam,1948,244
Adam,1949,301
Adam,1950,306
Adam,1951,297
Adam,1952,295
Adam,1953,332
Adam,1954,282
Adam,1955,351
Adam,1956,394
Adam,1957,434
Adam,1958,469
Adam,1959,585
Adam,1960,1019
Adam,1961,1581
Adam,1962,2155
Adam,1963,2349
Adam,1964,2867
Adam,1965,2578
Adam,1966,2512
Adam,1967,2537
Adam,1968,2557
Adam,1969,2884
Adam,1970,4341
Adam,1971,5883
Adam,1972,5774
Adam,1973,6879
Adam,1974,8489
Adam,1975,8699
Adam,1976,9992
Adam,1977,11096
Adam,1978,13989
Adam,1979,17163
Adam,1980,18965
Adam,1981,20118
Adam,1982,20209
Adam,1983,23612
Adam,1984,24075
Adam,1985,20278
Adam,1986,18244
Adam,1987,17014
Adam,1988,16535
Adam,1989,16987
Adam,1990,14743
Adam,1991,12320
Adam,1992,11939
Adam,1993,11549
Adam,1994,11053
Adam,1995,10495
Adam,1996,9577
Adam,1997,8817
Adam,1998,8367
Adam,1999,8239
Adam,2000,8149
Adam,2001,7762
Adam,2002,7757
Adam,2003,7705
Adam,2004,7505
Adam,2005,6850
Adam,2006,6801
Adam,2007,6786
Adam,2008,6098
Adam,2009,5669
Adam,2010,5102
Adam,2011,5207
Adam,2012,5303
Adam,2013,5232
Adam,2014,5300
Addison,1880,19
Addison,1881,17
Addison,1882,21
Addison,1883,20
Addison,1884,17
Addison,1885,17
Addison,1886,16
Addison,1887,12
Addison,1888,20
Addison,1889,11
Addison,1890,14
Addison,1891,10
Addison,1892,12
Addison,1893,9
Addison,1894,20
Addison,1895,19
Addison,1896,14
Addison,1897,8
Addison,1898,18
Addison,1899,12
Addison,1900,11
Addison,1901,9
Addison,1902,14
Addison,1903,15
Addison,1904,9
Addison,1905,16
Addison,1906,7
Addison,1907,11
Addison,1908,17
Addison,1909,13
Addison,1910,12
Addison,1911,20
Addison,1912,33
Addison,1913,33
Addison,1914,59
Addison,1915,62
Addison,1916,71
Addison,1917,73
Addison,1918,76
Addison,1919,64
Addison,1920,59
Addison,1921,78
Addison,1922,74
Addison,1923,64
Addison,1924,58
Addison,1925,44
Addison,1926,59
Addison,1927,65
Addison,1928,54
Addison,1929,49
Addison,1930,57
Addison,1931,51
Addison,1932,42
Addison,1933,41
Addison,1934,42
Addison,1935,34
Addison,1936,35
Addison,1937,37
Addison,1938,33
Addison,1939,37
Addison,1940,33
Addison,1941,35
Addison,1942,40
Addison,1943,44
Addison,1944,32
Addison,1945,26
Addison,1946,35
Addison,1947,34
Addison,1948,25
Addison,1949,34
Addison,1950,42
Addison,1951,40
Addison,1952,31
Addison,1953,31
Addison,1954,41
Addison,1955,36
Addison,1956,30
Addison,1957,33
Addison,1958,21
Addison,1959,30
Addison,1960,32
Addison,1961,31
Addison,1962,26
Addison,1963,30
Addison,1964,20
Addison,1965,28
Addison,1966,26
Addison,1967,18
Addison,1968,16
Addison,1969,27
Addison,1970,34
Addison,1971,38
Addison,1972,28
Addison,1973,23
Addison,1974,22
Addison,1975,28
Addison,1976,29
Addison,1977,16
Addison,1978,25
Addison,1979,37
Addison,1980,43
Addison,1981,25
Addison,1982,40
Addison,1983,36
Addison,1984,44
Addison,1985,73
Addison,1986,327
Addison,1987,324
Addison,1988,289
Addison,1989,310
Addison,1990,319
Addison,1991,347
Addison,1992,382
Addison,1993,481
Addison,1994,595
Addison,1995,664
Addison,1996,778
Addison,1997,889
Addison,1998,1041
Addison,1999,1213
Addison,2000,1419
Addison,2001,1586
Addison,2002,1856
Addison,2003,2132
Addison,2004,2484
Addison,2005,3414
Addison,2006,8062
Addison,2007,12284
Addison,2008,11021
Addison,2009,10895
Addison,2010,10509
Addison,2011,9484
Addison,2012,8334
Addison,2013,7848
Addison,2014,7079
Adrian,1880,18
Adrian,1881,12
Adrian,1882,18
Adrian,1883,14
Adrian,1884,9
Adrian,1885,12
Adrian,1886,17
Adrian,1887,13
Adrian,1888,19
Adrian,1889,16
Adrian,1890,17
Adrian,1891,16
Adrian,1892,18
Adrian,1893,13
Adrian,1894,18
Adrian,1895,18
Adrian,1896,22
Adrian,1897,27
Adrian,1898,17
Adrian,1899,30
Adrian,1900,27
Adrian,1901,29
Adrian,1902,26
Adrian,1903,23
Adrian,1904,30
Adrian,1905,33
Adrian,1906,34
Adrian,1907,31
Adrian,1908,41
Adrian,1909,38
Adrian,1910,42
Adrian,1911,62
Adrian,1912,138
Adrian,1913,164
Adrian,1914,192
Adrian,1915,242
Adrian,1916,253
Adrian,1917,287
Adrian,1918,337
Adrian,1919,295
Adrian,1920,292
Adrian,1921,295
Adrian,1922,290
Adrian,1923,347
Adrian,1924,350
Adrian,1925,284
Adrian,1926,298
Adrian,1927,235
Adrian,1928,242
Adrian,1929,242
Adrian,1930,220
Adrian,1931,233
Adrian,1932,224
Adrian,1933,210
Adrian,1934,232
Adrian,1935,234
Adrian,1936,243
Adrian,1937,247
Adrian,1938,276
Adrian,1939,270
Adrian,1940,266
Adrian,1941,295
Adrian,1942,277
Adrian,1943,258
Adrian,1944,281
Adrian,1945,273
Adrian,1946,338
Adrian,1947,378
Adrian,1948,371
Adrian,1949,415
Adrian,1950,401
Adrian,1951,450
Adrian,1952,469
Adrian,1953,490
Adrian,1954,463
Adrian,1955,519
Adrian,1956,551
Adrian,1957,568
Adrian,1958,542
Adrian,1959,591
Adrian,1960,666
Adrian,1961,741
Adrian,1962,847
Adrian,1963,773
Adrian,1964,947
Adrian,1965,888
Adrian,1966,914
Adrian,1967,1047
Adrian,1968,1189
Adrian,1969,1244
Adrian,1970,1511
Adrian,1971,1737
Adrian,1972,1917
Adrian,1973,1810
Adrian,1974,2013
Adrian,1975,2167
Adrian,1976,2329
Adrian,1977,2534
Adrian,1978,2624
Adrian,1979,2712
Adrian,1980,2737
Adrian,1981,2783
Adrian,1982,2923
Adrian,1983,3022
Adrian,1984,3112
Adrian,1985,3518
Adrian,1986,3248
Adrian,1987,3200
Adrian,1988,3601
Adrian,1989,3722
Adrian,1990,4375
Adrian,1991,4249
Adrian,1992,4166
Adrian,1993,4076
Adrian,1994,4054
Adrian,1995,4139
Adrian,1996,4322
Adrian,1997,4344
Adrian,1998,5674
Adrian,1999,5242
Adrian,2000,5549
Adrian,2001,5613
Adrian,2002,5875
Adrian,2003,6279
Adrian,2004,6306
Adrian,2005,6883
Adrian,2006,7557
Adrian,2007,7911
Adrian,2008,8083
Adrian,2009,7788
Adrian,2010,7558
Adrian,2011,7487
Adrian,2012,7059
Adrian,2013,6951
Adrian,2014,6764
Adriana,1888,5
Adriana,1902,6
Adriana,1904,5
Adriana,1910,6
Adriana,1911,9
Adriana,1913,5
Adriana,1914,13
Adriana,1915,19
Adriana,1916,13
Adriana,1917,15
Adriana,1918,11
Adriana,1919,12
Adriana,1920,13
Adriana,1921,18
Adriana,1922,16
Adriana,1923,22
Adriana,1924,20
Adriana,1925,20
Adriana,1926,16
Adriana,1927,15
Adriana,1928,16
Adriana,1929,11
Adriana,1930,16
Adriana,1931,21
Adriana,1932,9
Adriana,1933,6
Adriana,1934,23
Adriana,1935,17
Adriana,1936,25
Adriana,1937,17
Adriana,1938,17
Adriana,1939,16
Adriana,1940,23
Adriana,1941,21
Adriana,1942,21
Adriana,1943,24
Adriana,1944,21
Adriana,1945,23
Adriana,1946,21
Adriana,1947,35
Adriana,1948,45
Adriana,1949,33
Adriana,1950,38
Adriana,1951,43
Adriana,1952,46
Adriana,1953,49
Adriana,1954,71
Adriana,1955,53
Adriana,1956,77
Adriana,1957,89
Adriana,1958,77
Adriana,1959,102
Adriana,1960,137
Adriana,1961,148
Adriana,1962,149
Adriana,1963,172
Adriana,1964,217
Adriana,1965,238
Adriana,1966,258
Adriana,1967,283
Adriana,1968,360
Adriana,1969,475
Adriana,1970,458
Adriana,1971,464
Adriana,1972,447
Adriana,1973,490
Adriana,1974,519
Adriana,1975,614
Adriana,1976,683
Adriana,1977,796
Adriana,1978,816
Adriana,1979,938
Adriana,1980,1113
Adriana,1981,1055
Adriana,1982,1195
Adriana,1983,1067
Adriana,1984,977
Adriana,1985,1137
Adriana,1986,1263
Adriana,1987,1224
Adriana,1988,1465
Adriana,1989,2290
Adriana,1990,2167
Adriana,1991,2264
Adriana,1992,2217
Adriana,1993,2085
Adriana,1994,2188
Adriana,1995,2076
Adriana,1996,2109
Adriana,1997,2561
Adriana,1998,2483
Adriana,1999,2309
Adriana,2000,2686
Adriana,2001,2649
Adriana,2002,2392
Adriana,2003,2838
Adriana,2004,2837
Adriana,2005,2709
Adriana,2006,3101
Adriana,2007,2932
Adriana,2008,2724
Adriana,2009,2567
Adriana,2010,2460
Adriana,2011,2318
Adriana,2012,2147
Adriana,2013,2092
Adriana,2014,1869
Adrienne,1880,5
Adrienne,1884,5
Adrienne,1887,5
Adrienne,1888,5
Adrienne,1890,6
Adrienne,1892,5
Adrienne,1893,9
Adrienne,1894,5
Adrienne,1895,6
Adrienne,1896,7
Adrienne,1897,16
Adrienne,1898,9
Adrienne,1899,11
Adrienne,1900,21
Adrienne,1901,8
Adrienne,1902,10
Adrienne,1903,17
Adrienne,1904,21
Adrienne,1905,22
Adrienne,1906,28
Adrienne,1907,17
Adrienne,1908,21
Adrienne,1909,24
Adrienne,1910,41
Adrienne,1911,33
Adrienne,1912,42
Adrienne,1913,57
Adrienne,1914,68
Adrienne,1915,88
Adrienne,1916,83
Adrienne,1917,120
Adrienne,1918,88
Adrienne,1919,108
Adrienne,1920,86
Adrienne,1921,125
Adrienne,1922,93
Adrienne,1923,131
Adrienne,1924,137
Adrienne,1925,139
Adrienne,1926,138
Adrienne,1927,137
Adrienne,1928,116
Adrienne,1929,122
Adrienne,1930,116
Adrienne,1931,113
Adrienne,1932,248
Adrienne,1933,325
Adrienne,1934,390
Adrienne,1935,392
Adrienne,1936,351
Adrienne,1937,340
Adrienne,1938,323
Adrienne,1939,319
Adrienne,1940,298
Adrienne,1941,325
Adrienne,1942,401
Adrienne,1943,363
Adrienne,1944,332
Adrienne,1945,357
Adrienne,1946,408
Adrienne,1947,500
Adrienne,1948,469
Adrienne,1949,538
Adrienne,1950,489
Adrienne,1951,519
Adrienne,1952,532
Adrienne,1953,592
Adrienne,1954,648
Adrienne,1955,676
Adrienne,1956,695
Adrienne,1957,729
Adrienne,1958,722
Adrienne,1959,694
Adrienne,1960,652
Adrienne,1961,692
Adrienne,1962,779
Adrienne,1963,683
Adrienne,1964,698
Adrienne,1965,694
Adrienne,1966,721
Adrienne,1967,1037
Adrienne,1968,1077
Adrienne,1969,987
Adrienne,1970,1002
Adrienne,1971,991
Adrienne,1972,947
Adrienne,1973,890
Adrienne,1974,977
Adrienne,1975,1377
Adrienne,1976,1431
Adrienne,1977,1702
Adrienne,1978,1743
Adrienne,1979,1791
Adrienne,1980,1679
Adrienne,1981,1580
Adrienne,1982,1741
Adrienne,1983,2090
Adrienne,1984,1664
Adrienne,1985,1508
Adrienne,1986,1334
Adrienne,1987,1480
Adrienne,1988,1441
Adrienne,1989,1291
Adrienne,1990,1221
Adrienne,1991,1121
Adrienne,1992,1008
Adrienne,1993,948
Adrienne,1994,729
Adrienne,1995,651
Adrienne,1996,578
Adrienne,1997,555
Adrienne,1998,594
Adrienne,1999,496
Adrienne,2000,506
Adrienne,2001,396
Adrienne,2002,461
Adrienne,2003,421
Adrienne,2004,374
Adrienne,2005,379
Adrienne,2006,386
Adrienne,2007,398
Adrienne,2008,379
Adrienne,2009,481
Adrienne,2010,408
Adrienne,2011,431
Adrienne,2012,391
Adrienne,2013,353
Adrienne,2014,339
Agnes,1880,473
Agnes,1881,424
Agnes,1882,565
Agnes,1883,623
Agnes,1884,703
Agnes,1885,695
Agnes,1886,779
Agnes,1887,901
Agnes,1888,1046
Agnes,1889,1033
Agnes,1890,1095
Agnes,1891,1125
Agnes,1892,1333
Agnes,1893,1399
Agnes,1894,1477
Agnes,1895,1466
Agnes,1896,1661
Agnes,1897,1585
Agnes,1898,1708
Agnes,1899,1619
Agnes,1900,1922
Agnes,1901,1534
Agnes,1902,1681
Agnes,1903,1622
Agnes,1904,1672
Agnes,1905,1729
Agnes,1906,1767
Agnes,1907,1842
Agnes,1908,1941
Agnes,1909,1985
Agnes,1910,2176
Agnes,1911,2315
Agnes,1912,2959
Agnes,1913,3217
Agnes,1914,3735
Agnes,1915,4803
Agnes,1916,4861
Agnes,1917,5078
Agnes,1918,5303
Agnes,1919,4907
Agnes,1920,4920
